在访问印度期间他在新德里人居中心演出	1	印度	3	5
格雷厄姆·诺顿是一名盖尔人足球运动员曾效力于都柏林和圣布里吉兹	0	都柏林	22	25
印度队以101的比分被淘汰出局	0	印度	0	2
他在大学最后一年担任球队队长代表英国大学对抗孟加拉国和后来的斯里兰卡	0	斯里兰卡	30	34
2006年11月2日西印度群岛在斋浦尔Sawai Mansingh体育场举行的第二场半决赛中击败南非队进入决赛	0	西印度群岛	10	15
他在对阵威尔士的比赛中进了一球但由于受伤错过了德国队赢得的最后一场比赛	0	德国	23	25
其中三个也被卖给了中国	0	中国	9	11
伊拉克女子国家足球队是代表伊拉克的女子足球队	0	伊拉克	0	3
Abdul Hakim Asher（生于1977年10月12日）是阿富汗伊斯兰共和国最有影响力的发言人之一	0	阿富汗伊斯兰共和国	33	42
应美国的请求古巴被排除在外	0	古巴	6	8
土耳其自动成为主办国	0	土耳其	0	3
从1952年开始日本将其划分为1类或2类	0	日本	8	10
几个世纪以来土耳其有许多宪法其特点是稳步建立民族国家、民主化和承认国际法	0	土耳其	6	9
由于厌倦了法国和匈牙利之间的通勤又因缺乏选择而感到沮丧她决定从2003年1月开始为法国划界	0	法国	5	7
他在2000年3月世界杯资格赛对阵安圭拉的比赛中为巴哈马队首次亮相国际赛场共出场14次没有进球	0	巴哈马	25	28
Tinderbox行动是美国于19791980年在内华达试验场进行的14次核试验的一系列	0	美国	12	14
战后它仍然由波兰、挪威、乌克兰经营	0	乌克兰	12	15
1940年北特兰西瓦尼亚因第二次维也纳奖而归匈牙利但在第二次世界大战结束后被罗马尼亚收回	0	罗马尼亚	38	42
从那时起埃及不再受何鲁斯神的保护而是受赛特和他的仆人阿克的摆布	0	埃及	4	6
1962年7月3日正式宣布脱离法国独立	0	法国	15	17
韩国作为韩国参加了在意大利都灵举行的第九届冬季残奥会	0	韩国	0	2
我完全基于以色列的决心和目标而不是实现这一目标的难度）	0	以色列	5	8
到1992年野生老虎不再在中国出现到1993年中国通过了禁止交易老虎及其部分的禁令	0	中国	13	15
然而当太平洋战争于1945年8月结束时第三两栖兵团转而前往华北接受日本的投降从1945年10月到1946年2月德雷格与一支信号部队驻扎在中国天津	0	日本	33	35
荷兰印度尼西亚圆桌会议于1949年8月23日至11月2日在海牙举行荷兰、印度尼西亚共和国和代表荷兰在印度尼西亚群岛创建的各个国家的BFO（联邦协商会议）的代表参加了会议	0	印度尼西亚共和国	36	44
《斐济法国海洋划界协定》是法国和斐济于1983年签订的一项条约确定了斐济与法国新喀里多尼亚特别集体之间的海洋边界以及斐济与法国海外集体瓦利斯和富图纳之间的边界	0	斐济	1	3
一些人认为白俄罗斯植入了该装置操纵了一场表演审判并折磨了两名嫌疑人的供词	0	白俄罗斯	5	9
以色列有自己的阿富汗也就是叙利亚还有自己的伊拉克也就是伊朗	0	以色列	0	3
德国开辟了从巴德瑙海姆到洛克伯格的路段	0	德国	0	2
第一次世界大战爆发意大利宣布中立巴尔博支持站在盟国一边参加战争	0	意大利	9	12
作为共产主义集团的一部分中国和罗马尼亚有着几十年的经济和文化交流历史	0	中国	12	14
1823年帝国解体尼加拉瓜、危地马拉、萨尔瓦多、洪都拉斯和哥斯达黎加加入中美洲联合省	0	萨尔瓦多	19	23
特根党是所有不能再忍受荷兰的荷兰人的政党	0	荷兰	11	13
《巴巴多斯法国海洋划界协定》是2009年巴巴多斯和法国之间的一项条约它划定了巴巴多斯与瓜德罗普岛和马提尼克岛的法国海外部门之间的海洋边界	0	法国	5	7
5月20日南越在4比0输给日本的比赛中首战四天后他们以1比0输给了香港队并被淘汰出局	0	日本	13	15
196970年在澳大利亚的一次短暂的非测试之旅中他以137分（和第一世纪）的最高一等成绩在墨尔本与维多利亚队的比赛中胜出新西兰队的总成绩为220分以22分4分的成绩达到了最低点	0	新西兰	60	63
Mo行动的主要目的是孤立澳大利亚使其无法对日本领土构成威胁	0	澳大利亚	12	16
自1996年奥运会首次举办以来美国队连续第三次蝉联冠军中国队以7分55秒的亚洲纪录获得银牌令人惊讶97 	0	美国	15	17
直到1962年阿尔及利亚一直处于法国的统治之下	0	法国	16	18
战山之战是1950年8月15日至9月19日朝鲜战争初期联合国与朝鲜在韩国索布克山地区及其周围进行的交战	0	朝鲜	21	23
这场比赛是奥地利锦标赛的一部分包括日本和奥地利以及智利和瑞士	0	奥地利	5	8
2016年9月9日在2016年非洲T20杯上他代表自由州队出战津巴布韦队完成了自己的第220场处子秀	0	津巴布韦	31	35
布什对911恐怖袭击的反应、他作为指挥官和总司令在发动和指挥阿富汗和伊拉克冲突方面的行动以及他的经济政策一直受到游击队、分析家和学者的热烈辩论	0	阿富汗	30	33
奥斯曼帝国（现代土耳其）从16世纪1516年征服黎巴嫩到1918年第一次世界大战结束一直统治着黎巴嫩和叙利亚	0	黎巴嫩	24	27
因此该地区（在流入康涅狄格河源头的三条支流内及其周围）并不完全属于美国或加拿大下游地区（该地区为	0	美国	33	35
1855年至1859年他在慕尼黑学习是奥格斯堡Allgemeine Zeitung的工作人员1859年至1864年他是自由派IsarZeitung的编辑	0	慕尼黑	13	16
帕沃在1959年反抗中国统治的起义中逃离西藏前往不丹然后在印度的卡伦邦河上	0	中国	10	12
印度通过为该村庄修建排水系统创造了当地就业机会	0	印度	0	2
为了划定边界该条约假定法国对马修和亨特群岛拥有主权但由于瓦努阿图也声称对这些岛屿拥有主权该条约规定该条约“不损害任何邻国的主权”	0	法国	11	13
后来在二000年代初罗马尼亚由于人口外流到西欧开始出现劳动力短缺因而从中国输入民工	0	罗马尼亚	10	14
伊朗参加了1990年在首都北京举行的亚运会	0	伊朗	0	2
埃宾豪斯曾在1970年、1972年至1975年、1977年至1979年期间代表西德参加过联邦杯并在1973年和1974年参加了世界组的半决赛	0	西德	39	41
白俄罗斯声称爆炸的目的是破坏“和平与稳定”暗示可能有外国参与但也下令对国内武器储存设施进行紧急调查	0	白俄罗斯	0	4
起义反映了对法国态度的变化	0	法国	6	8
中国经历了周期性的北方粘虫感染暴发	0	中国	0	2
2010年欧洲电视歌曲大赛的荷兰参赛作品将由TROS组织	0	荷兰	14	16
美国和阿尔及利亚重新建立了外交关系他们各自在阿尔及尔和华盛顿的大使馆于1974年11月12日重新开放	0	阿尔及利亚	3	8
这场战争的消息在英国引起了欢欣鼓舞并导致威廉·皮特在与法国正在进行的和平谈判中采取了更加强硬的立场	0	法国	27	29
德国队在韩国汉城的AFC和OFC资格赛中被列入A区	0	德国	0	2
1838年联盟解体尼加拉瓜成为一个独立的国家	0	尼加拉瓜	9	13
在香港于1997移交给北京之前他已经制作并展示了许多项目	0	北京	11	13
PL4是基于美国AIM7D麻雀IIIa AAM北越提供给中国的在越南战争期间从被击落的美国战斗机中获取样本	0	中国	28	30
他曾担任MMO游戏发行商Frogster Interactive Pictures AG（现为Gamefforge Berlin AG）的首席执行官2006年在法兰克福上市2010年被收购	0	法兰克福	80	84
孟加拉国计划购买8艘此类船只	0	孟加拉国	0	4
美国在这项赛事中取得了最大的成功在六个版本中获得了十一枚奖牌	0	美国	0	2
到20世纪初两个非欧洲国家日本和美利坚合众国将被视为同为大国的国家	0	日本	13	15
戴高乐鄙视他法国拒绝帮助他	0	法国	6	8
波斯尼亚和黑塞哥维那于1992年3月宣布脱离南斯拉夫独立	0	南斯拉夫	22	26
在1940年至1945年德国占领挪威期间他是与挪威流亡政府和挪威抵抗运动合作的协调员	0	德国	12	14
与大多数非洲发展中国家一样加纳主要依赖可可、矿产和木材作为其经济的主要出口	0	加纳	13	15
比赛由以色列获胜以色列的U20团队代表以色列	0	以色列	3	6
1月31日——美国取消了其地面观察团	0	美国	7	9
大约1562年弗朗西斯科·德·梅迪奇委托它在佛罗伦萨建造一座喷泉但后来作为礼物送给西班牙	0	西班牙	41	44
白俄罗斯驻伦敦大使馆是白俄罗斯驻联合王国的外交使团	0	白俄罗斯	0	4
中国认为由于国家对老虎零件的需求这项禁令将是短暂的	0	中国	0	2
他们去了但面对其他球队和其他事件或发现以色列将在那里并转身离开？	0	以色列	19	22
克鲁格在国际比赛中代表瑞典帮助瑞典获得初级铜牌和高级国际比赛银牌	0	瑞典	11	13
Alyssa Jean Anderson（生于1990年9月30日）是美国游泳比赛选手和奥运会金牌得主代表美国参加2012年夏季奥运会	0	美国	35	37
类似的真实类比是如果轴心国赢得了第二次世界大战我们现在将知道我们和他们的盟友是邪恶的而犹太人是世界上需要消除的传染病（感谢上帝联盟获胜）	0	我们	23	25
丹麦人攻击爱沙尼亚	0	爱沙尼亚	5	9
贝雷蒂奇代表塞尔维亚和黑山参加2004年夏季奥运会	0	黑山	11	13
该消息来源并没有证实“沙特阿拉伯捐赠了330多万美元比任何其他国家都多”	0	沙特阿拉伯	11	16
他最著名的是1986年在墨西哥世界杯上为匈牙利国家队效力当时匈牙利未能在小组赛中取得进步	0	匈牙利	20	23
他们以30击败所罗门群岛100击败新喀里多尼亚60击败斐济并以31战胜所罗门群岛获得了2011年哥伦比亚青年世界杯的参赛资格	0	所罗门群岛	7	12
墨西哥—尼加拉瓜关系是指墨西哥和尼加拉瓜之间的外交关系	0	尼加拉瓜	4	8
与此同时Stanisław与条顿骑士团秘密谈判达成停火协议最终于1520年12月停火几个月后波兰与条顿骑士团之间的和平条约永久结束	0	波兰	46	48
一条以前的高压线有助于将发电厂安置在那里因为自20世纪70年代以来乌克兰通过阿尔贝蒂尔萨扎伊德努克拉因斯卡750千伏输电线路成为匈牙利的一个大型电力供应国	0	乌克兰	33	36
在西班牙之前他代表祖国古巴参加了1991年世界锦标赛并进入了半决赛	0	古巴	11	13
20世纪初葡萄牙击败了最后一批土著酋长并建立了对该领土的有效控制后不久出现了一些有兴趣将莫桑比克从葡萄牙殖民统治中解放出来并使其成为一个独立国家的团体	0	莫桑比克	44	48
2008年9月也许是为了回应尼加拉瓜对格鲁吉亚分裂领土的支持俄罗斯提出加强与尼加拉瓜的关系并向尼加拉瓜提供援助帮助重建被飓风破坏的地区	0	尼加拉瓜	14	18
1668年3月27日的《皇家宪章》是英国王国和英国东印度公司之间的协议	0	英国	18	20
3月25日：英国、奥地利、俄罗斯和普鲁士之间的《维也纳条约》确认了1814年3月1日《肖蒙特条约》所规定的原则	0	普鲁士	17	20
同年10月他还在赞比亚独立庆典期间接待肯尼亚、乌干达和加纳的赞比亚团队中担任主角	0	乌干达	23	26
参加国为：所有权人澳大利亚、英国、荷兰、巴基斯坦、苏联和德国	0	巴基斯坦	20	24
第二年佩雷拉成为赢得OFC U20 s的新西兰队队长并被授予金球奖成为本届锦标赛的最佳球员	0	新西兰	20	23
澳大利亚和加利福尼亚现在是两个领先的生产商	0	澳大利亚	0	4
九个国家投了赞成票：安哥拉、贝宁、智利、法国、德国、罗马尼亚、西班牙、英国和美国	0	西班牙	31	34
1998年11月17日在贝尼文托00战平意大利的友谊赛中他唯一一次代表21岁以下国家队出场	0	意大利	20	23
当澳大利亚队在20世纪90年代上升到统治地位时马修斯被证明“在比赛的两个主要部门中都不够好无法作为一名全能选手产生持久的影响”尽管在199091年与英格兰队比赛了一个世纪但他只打了不规则的比赛最终在1993年被淘汰	0	澳大利亚	1	5
西班牙是201213年IRB七人世界大赛期间参加全部九场比赛的15支核心球队之一	0	西班牙	0	3
1975年苏里南从荷兰获得完全独立	0	苏里南	5	8
切尔西球迷没有列出来自西伦敦的三人中的任何一人而是选择了阿森纳、托特纳姆热刺和曼联	0	切尔西	0	3
法国沦陷德国后吉拉多为自由法国的地下力量建立了一个工厂	0	法国	0	2
她还代表日本参加了1996年夏季奥运会	0	日本	4	6
乌斯拉的姓氏起源于德国可以追溯到约翰·冯·乌斯拉（Johann von Uslar）他在委内瑞拉独立战争期间为叛乱事业而战	0	委内瑞拉	44	48
本菲卡通过赢得199091赛季的普莱米拉·迪西昂获得超级杯资格而波尔图通过赢得199091赛季的葡萄牙塔萨获得超级杯资格	0	本菲卡	0	3
他和安德烈·德尔祖一起参加了罗马尼亚对西德的双打保级附加赛	0	罗马尼亚	14	18
2008年杰森·舒尔茨（Jason Shoultz）在一篇题为《玉米之旅》的专题文章中探讨了与中国大陆和台湾的海外谷物贸易	0	中国	47	49
2012年6月英国外交大臣宣布英国将在海地开设新大使馆	0	英国	7	9
这对伦敦的说法提出了挑战	0	伦敦	2	4
2005年8月戈梅斯接受了教练理查德·佩兹对委内瑞拉队的征召在8月17日的友谊赛中以3比1击败厄瓜多尔队并在2006年3月1日的另一场比赛中攻入了第一个进球	0	厄瓜多尔	47	51
和所有其他扩张团队一样他们在积分榜的下半部分与墨西哥并列	0	墨西哥	23	26
这是来自西非经货联盟八个成员国的国内联赛足球运动员的比赛：马里、科特迪瓦、布基纳法索、尼日尔、多哥、贝宁、塞内加尔和几内亚比绍	0	多哥	47	49
印度的铁路预算是处理印度铁路运输的国有印度铁路公司的年度财务报表	0	印度	0	2
1994年9月7日在1996年欧洲杯预选赛对阵塞浦路斯的比赛中（90分钟客场21获胜）阿马维斯卡在西班牙首次亮相后参加了四场比赛进入了锦标赛的最后阶段	0	西班牙	49	52
达拉斯在尊敬的东印度公司服务了多年	0	达拉斯	0	3
囚犯的到来令许多天鹅河殖民地定居者感到惊讶因为西澳大利亚州已经向囚犯请愿但在Scindian抵达时尚未收到答复	0	西澳大利亚州	23	29
正是这项条约导致阿联酋在1971独立前被称为“修道院国家”它见证了阿拉伯联合酋长国的建立	0	阿拉伯联合酋长国	33	41
对法国来说这证实了这样一种说法即由于其军队行动缓慢加上敌人的先知先觉在越南丛林中实施严密的圈闭行动是不可能的这是难以防止的	0	法国	1	3
他从那个地方寻求葡萄牙的帮助使他恢复王位并驱逐贾加斯人	0	葡萄牙	8	11
在此期间汇点与北京保持着温暖的关系	0	北京	7	9
1958年2月他因慕尼黑空难受伤去世享年21岁在此之前他曾18次被英格兰队封顶并在曼联队获得两枚足球联赛冠军奖牌	0	英格兰	33	36
作为联合国成员国的美国随后向朝鲜半岛派遣了地面部队目的是击退朝鲜的入侵防止韩国崩溃	0	美国	9	11
第二天放学前卢克和乔丹观看了一段录音内容是凯特利和加尔文讨论合作社的阴谋即在100天内用一个名为“塔比莎”的不明人物消灭菲尼克斯以外的世界	0	乔丹	9	11
伊朗的核计划始于1959年当时美国向德黑兰大学提供了一个小型反应堆作为德怀特·德怀特总统宣布的“原子促进和平”计划的一部分艾森豪威尔1953年12月	0	伊朗	0	2
尼加拉瓜—俄罗斯关系是俄罗斯和尼加拉瓜两国之间的关系	0	尼加拉瓜	0	4
澳大利亚在1998年珀斯世界水上运动锦标赛上获得铜牌延续了90年代中期的成功在1998年和1999年的其余时间里澳大利亚在荷兰意大利美国和匈牙利的四次国际锦标赛中都是不败的	0	澳大利亚	0	4
赫拉克利乌斯动员拜占庭远征军前往安提俄克（叙利亚）但在城外被波斯彻底击败	0	波斯	30	32
尼泊尔现在打算通过与中国和印度的外交手段解决这一问题	0	尼泊尔	0	3
作为一名受人尊敬的记者他是宗教与国家分离的支持者是与希腊对话与和解的倡导者也是土耳其各少数民族人权的倡导者	0	希腊	26	28
在1969年的澳大利亚和新西兰巡回赛中威尔士队主教练克莱夫·罗兰兹将他从原来的中锋位置换到了右翼位置之后他就在这个位置上踢球	0	威尔士	19	22
以色列有自己的阿富汗也就是叙利亚还有自己的伊拉克也就是伊朗	0	伊拉克	21	24
在他20岁出道之前他是2016年19岁以下板球世界杯南非队的一员	0	南非	26	28
1950年6月25日朝鲜战争爆发后朝鲜的北方邻国朝鲜民主主义人民共和国入侵了大韩民国（韩国）联合国向冲突派遣部队以支持韩国	0	朝鲜民主主义人民共和国	24	35
该决议由法国和美国提出	0	美国	7	9
1981年戈兰地区被以色列单方面吞并废除了军事占领制度并对该地区实行以色列文治	0	以色列	10	13
在制作这张专辑的过程中她得到了制作人孟加拉国的帮助这样她就可以让自己的音乐更具优势	0	孟加拉国	18	22
在希腊雅典的同一届奥运会上塔利亚帮助罗马尼亚在4400米接力赛中获得第六名	0	罗马尼亚	18	22
1941年7月在纳粹德国袭击苏联后布扎茨被德国占领	0	德国	10	12
尽管有意识形态上的同情佛朗哥并没有将西班牙作为一个好战国家带入战争并在比利牛斯山驻扎野战军以阻止德国占领伊比利亚半岛	0	西班牙	18	21
200506年度圣彼得堡雅各布公园吸引了平均23500名观众使巴塞尔成为瑞士最受支持的足球俱乐部	0	巴塞尔	31	34
这首歌也是由孟加拉国Dr卢克和本尼·布兰科与艾米莉·赖特、山姆·霍兰德、克里斯·泰克·奥瑞安和克里斯·霍姆斯共同完成工程	0	孟加拉国	6	10
这不仅是对反抵抗运动的反应也是与苏联的全面联盟提供免费信贷、经济补贴和重型武器赠款	0	苏联	16	18
1947年8月14日巴基斯坦成立后边境部队团被分配到巴基斯坦巴赫蒂尔·拉纳加入了新成立的巴基斯坦军队并帮助组建了该部队	0	巴基斯坦	10	14
2016年9月他批评了威尔士将目前蒙哥马利郡英国议会选区划分为三个相邻席位的提案称这将“制造一场官僚噩梦”三名议员代表现有郡区	0	威尔士	11	14
在康拉德三世去世时大部分的玛索维亚遗产（除了在1495年被授予康拉德三世作为世袭封地的捷尔斯克）受到波兰王国的严重威胁直到1504年3月14日亚历山大国王的裁决才在他的儿子手中得到保障年轻的王子们作为封地继承了全部遗产	0	波兰王国	50	54
在1993年禁令之前中国使用虎骨生产虎酒和中药他们认为虎骨具有治疗作用	0	中国	10	12
她代表希腊参加2008年夏季奥运会铁人三项比赛	0	希腊	3	5
纳戈尔诺卡拉巴赫自治州投票决定脱离阿塞拜疆加入亚美尼亚引发了纳戈尔诺卡拉巴赫战争	0	亚美尼亚	23	27
1941年7月4日伯明翰护送WS9A车队从英国前往南非	0	伯明翰	9	12
英国要求接替达乌德因为他因腐败、与阿富汗鸦片工业有联系以及与塔利班有联系而闻名	0	英国	0	2
以色列有自己的阿富汗也就是叙利亚还有自己的伊拉克也就是伊朗	0	阿富汗	7	10
1968年移民加拿大后科斯塔继续他的职业生涯在加拿大国家足球联盟多伦多队效力直到1984年成为联盟中服役时间最长的球员并在俱乐部赢得了冠军	0	多伦多	32	35
在当天的第一节课上卢克被介绍给迈克、猫和坦克他们是彼得的老朋友乔丹是最后一个搬到凤凰城的人	0	乔丹	31	33
共产主义激进组织“红色五月”正试图搞垮日本经济并接管政府	0	日本	19	21
1902年这艘船被转移到哥伦比亚海军在那里它装备了大炮并作为炮艇波哥大号在哥伦比亚海军服役	0	波哥大	32	35
日本机器人技术历史悠久在机器人领域享有盛誉	0	日本	0	2
该地区最终并入波兰与维尔纽斯问题无关——1920年夏天立陶宛军队（第二次）被赶出该地区时该地区立即并入波兰	0	维尔纽斯	10	14
十天后美国将Jabhat alNusra定为外国恐怖组织随后是联合国安理会和许多其他国家	0	美国	3	5
该队在所有比赛中都晋级到了第二轮在这一过程中该队成为第一支在慈善规则下战胜古巴和美国的球队	0	古巴	37	39
石玉泉被任命为2014年国际先生大会的新中国代表因为之前的候选人丹尼尔·切因“态度恶劣”而被取消了头衔	0	中国	20	22
他在1905年与澳大利亚队的比赛中成为一名全黑球员	0	澳大利亚	8	12
以色列有自己的阿富汗也就是叙利亚还有自己的伊拉克也就是伊朗	0	叙利亚	13	16
1924年11月16日拉什钦斯基在对土耳其的友谊赛中首次代表苏联出场	0	土耳其	18	21
有人抱怨对狗的行为的描述方式伦敦随后又以《野性的呼唤》为同一主题进行了跟进	0	伦敦	14	16
在那次锦标赛上西班牙击败津巴布韦、菲律宾、汤加和日本进入决赛并输给了加拿大	0	津巴布韦	12	16
他们去了乔丹的家她和他们讨论她怀孕了	0	乔丹	4	6
Kaji Abhiman Singh Basnyat是第一个统一的尼泊尔军队的首领	0	尼泊尔	33	36
在澳大利亚联邦成立之前塔斯马尼亚岛是大英帝国的殖民地因此经常与英国的敌人和欧洲竞争对手交战如法国和后来的俄罗斯	0	英国	31	33
尽管澳大利亚队对英格兰队的比赛后来获得了测试状态并且是引发骨灰诞生的比赛但1882年的比赛并不被视为骨灰的一部分因为它先于奖杯的推出	0	澳大利亚	2	6
该决议由法国和美国共同起草	0	法国	4	6
从1941年到1943年克罗地亚还是意大利的傀儡国	0	意大利	18	21
南斯拉夫获胜领先于罗马尼亚、保加利亚和阿尔巴尼亚	0	保加利亚	14	18
1903年11月3日在巴拿马从哥伦比亚分离期间波哥大炮击了巴拿马城	0	波哥大	23	26
1979年10月18日桑地诺革命后几个月尼加拉瓜和苏联签署了外交使团协议	0	苏联	25	27
抗议者反对中国的人权记录奥运火炬接力在伦敦、巴黎和旧金山遭到破坏	0	中国	5	7
圣泰雷塞堡是法国17世纪沿魁北克省瑞吉山的黎塞留河修建的一系列防御工事中的一处遗址上先后修建的三座不同堡垒的名称	0	法国	6	8
他在1993年代表爱尔兰对阵澳大利亚的比赛中首次亮相随后入选1994年国际商会杯	0	爱尔兰	9	12
1992年白俄罗斯恢复独立后不久英国和白俄罗斯建立了外交关系	0	英国	16	18
在2013年世界棒球经典赛中波多黎各队成为西半球第二支晋级决赛的球队在半决赛中淘汰了两届卫冕世界冠军日本队最后以亚军的身份结束比赛	0	日本	50	52
随着石油收入的增加以及他将伊朗视为该地区霸权力量的新愿景核计划成为了巴列维进步和权力的象征	0	伊朗	13	15
巴尔博是唯一反对反犹太种族法和墨索里尼与纳粹德国结盟的主要法西斯分子	0	纳粹德国	20	24
他的硕士论文是关于南非种族隔离后的过渡司法机制以及这些经验教训如何应用于战后的阿富汗	0	南非	9	11

